,Grey levels,Alpha,Pixel grouping,Accuracy
0,10,0.1,[1 1],0.6719
1,10,0.01,[1 1],0.6719
2,10,0.001,[1 1],0.6719
3,10,0.0001,[1 1],0.6719
4,64,0.1,[1 1],0.6694
5,64,0.01,[1 1],0.6694
6,64,0.001,[1 1],0.6694
7,64,0.0001,[1 1],0.6694
8,128,0.1,[1 1],0.6691
9,128,0.01,[1 1],0.6691
10,128,0.001,[1 1],0.6691
11,128,0.0001,[1 1],0.6691
12,255,0.1,[1 1],0.6671
13,255,0.01,[1 1],0.6671
14,255,0.001,[1 1],0.6671
15,255,0.0001,[1 1],0.6671
16,10,0.1,[2 2],0.6633
17,10,0.01,[2 2],0.6633
18,10,0.001,[2 2],0.6633
19,10,0.0001,[2 2],0.6633
20,64,0.1,[2 2],0.659
21,64,0.01,[2 2],0.659
22,64,0.001,[2 2],0.659
23,64,0.0001,[2 2],0.659
24,128,0.1,[2 2],0.658
25,128,0.01,[2 2],0.658
26,128,0.001,[2 2],0.658
27,128,0.0001,[2 2],0.658
28,255,0.1,[2 2],0.6543
29,255,0.01,[2 2],0.6543
30,255,0.001,[2 2],0.6543
31,255,0.0001,[2 2],0.6543
32,10,0.1,[2 1],0.6672
33,10,0.01,[2 1],0.6672
34,10,0.001,[2 1],0.6672
35,10,0.0001,[2 1],0.6672
36,64,0.1,[2 1],0.6634
37,64,0.01,[2 1],0.6634
38,64,0.001,[2 1],0.6634
39,64,0.0001,[2 1],0.6634
40,128,0.1,[2 1],0.6627
41,128,0.01,[2 1],0.6627
42,128,0.001,[2 1],0.6627
43,128,0.0001,[2 1],0.6627
44,255,0.1,[2 1],0.6592
45,255,0.01,[2 1],0.6592
46,255,0.001,[2 1],0.6592
47,255,0.0001,[2 1],0.6592
48,10,0.1,[4 4],0.6554
49,10,0.01,[4 4],0.6554
50,10,0.001,[4 4],0.6554
51,10,0.0001,[4 4],0.6554
52,64,0.1,[4 4],0.6501
53,64,0.01,[4 4],0.6501
54,64,0.001,[4 4],0.6501
55,64,0.0001,[4 4],0.6501
56,128,0.1,[4 4],0.6488
57,128,0.01,[4 4],0.6488
58,128,0.001,[4 4],0.6488
59,128,0.0001,[4 4],0.6488
60,255,0.1,[4 4],0.6411
61,255,0.01,[4 4],0.6411
62,255,0.001,[4 4],0.6411
63,255,0.0001,[4 4],0.6411
